Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
74,8,0.01,LAMB,1.0982,1.0956,1.0972,0.3412,0.3212,0.3293,0.2336,0.2998,0.291,0.3412,0.3212,0.3293,0.2764,0.1738,0.1807,0.4937,0.5508,0.5255,1.0338,0.8348,0.8301
75,8,0.01,LAMB,1.0979,1.0953,1.0972,0.3307,0.3212,0.3293,0.2263,0.2998,0.291,0.3307,0.3212,0.3293,0.268,0.1738,0.1807,0.5129,0.5499,0.5252,1.0439,0.8348,0.8301
76,8,0.01,LAMB,1.0982,1.0953,1.0972,0.329,0.3212,0.3354,0.2246,0.2998,0.3089,0.329,0.3212,0.3354,0.2665,0.1738,0.1925,0.4998,0.5505,0.5256,1.0645,0.8348,0.8319
77,8,0.01,LAMB,1.0981,1.0956,1.0972,0.3481,0.3212,0.3293,0.2379,0.2998,0.2707,0.3481,0.3212,0.3293,0.2825,0.1738,0.1809,0.4997,0.5498,0.5248,1.0629,0.8348,0.8356
78,8,0.01,LAMB,1.0986,1.0958,1.0972,0.3612,0.3212,0.3293,0.2479,0.2998,0.291,0.3612,0.3212,0.3293,0.2928,0.1738,0.1807,0.4878,0.5501,0.5251,1.019,0.8348,0.8301
79,8,0.01,LAMB,1.0983,1.0955,1.0972,0.3386,0.3212,0.3323,0.2319,0.2998,0.3183,0.3386,0.3212,0.3323,0.2751,0.1738,0.182,0.4931,0.5511,0.5253,1.0489,0.8348,0.8282
80,8,0.01,LAMB,1.0984,1.0956,1.0972,0.3229,0.3212,0.3323,0.2201,0.2998,0.3183,0.3229,0.3212,0.3323,0.2615,0.1738,0.182,0.4891,0.5495,0.5248,1.0795,0.8348,0.8282
81,8,0.01,LAMB,1.0984,1.0956,1.0972,0.3386,0.3212,0.3323,0.2318,0.2998,0.3183,0.3386,0.3212,0.3323,0.2745,0.1738,0.182,0.4904,0.5494,0.5249,1.0376,0.8348,0.8282
82,8,0.01,LAMB,1.0981,1.0961,1.0972,0.3438,0.3212,0.3323,0.2354,0.2998,0.3183,0.3438,0.3212,0.3323,0.2784,0.1738,0.182,0.4988,0.5495,0.5248,1.03,0.8348,0.8282
83,8,0.01,LAMB,1.098,1.0956,1.0972,0.3464,0.3212,0.3323,0.2372,0.2998,0.3183,0.3464,0.3212,0.3323,0.2799,0.1738,0.182,0.5062,0.5496,0.5248,1.0237,0.8348,0.8282
84,8,0.01,LAMB,1.0978,1.0956,1.0972,0.3542,0.3212,0.3323,0.242,0.2998,0.3183,0.3542,0.3212,0.3323,0.287,0.1738,0.182,0.52,0.5496,0.5249,1.0476,0.8348,0.8282
85,8,0.01,LAMB,1.0979,1.0953,1.0972,0.356,0.3212,0.3323,0.2441,0.2998,0.3183,0.356,0.3212,0.3323,0.2891,0.1738,0.182,0.5093,0.5495,0.5248,1.0241,0.8348,0.8282
86,8,0.01,LAMB,1.0975,1.0961,1.0972,0.3673,0.3212,0.3323,0.2519,0.2998,0.3183,0.3673,0.3212,0.3323,0.2972,0.1738,0.182,0.5257,0.5495,0.5248,1.0134,0.8348,0.8282
87,8,0.01,LAMB,1.0975,1.0959,1.0972,0.3638,0.3212,0.3323,0.2488,0.2998,0.3183,0.3638,0.3212,0.3323,0.2948,0.1738,0.182,0.5197,0.5496,0.5248,1.0355,0.8348,0.8282
88,8,0.01,LAMB,1.0984,1.0964,1.0972,0.3394,0.3212,0.3323,0.2321,0.2998,0.3183,0.3394,0.3212,0.3323,0.2751,0.1738,0.182,0.494,0.5499,0.5247,1.0472,0.8348,0.8282
89,8,0.01,LAMB,1.0982,1.0959,1.0972,0.3316,0.3212,0.3323,0.2263,0.2998,0.3183,0.3316,0.3212,0.3323,0.2679,0.1738,0.182,0.494,0.5498,0.5249,1.0459,0.8348,0.8282
90,8,0.01,LAMB,1.0979,1.0956,1.0972,0.3473,0.3212,0.3323,0.2371,0.2998,0.3183,0.3473,0.3212,0.3323,0.2814,0.1738,0.182,0.5069,0.5497,0.5249,1.0546,0.8348,0.8282
91,8,0.01,LAMB,1.098,1.0959,1.0972,0.3403,0.3212,0.3323,0.2325,0.2998,0.3183,0.3403,0.3212,0.3323,0.2754,0.1738,0.182,0.5047,0.5497,0.5248,1.0443,0.8348,0.8282
92,8,0.01,LAMB,1.0978,1.0953,1.0972,0.3412,0.3212,0.3323,0.2336,0.2998,0.3183,0.3412,0.3212,0.3323,0.2757,0.1738,0.182,0.5117,0.5497,0.5249,1.0262,0.8348,0.8282
93,8,0.01,LAMB,1.0981,1.0956,1.0972,0.329,0.3212,0.3323,0.2245,0.2998,0.3183,0.329,0.3212,0.3323,0.2661,0.1738,0.182,0.4986,0.5499,0.5249,1.0522,0.8348,0.8282
94,8,0.01,LAMB,1.0982,1.0953,1.0972,0.3394,0.3212,0.3323,0.2322,0.2998,0.3183,0.3394,0.3212,0.3323,0.2751,0.1738,0.182,0.4939,0.55,0.5249,1.0409,0.8348,0.8282
95,8,0.01,LAMB,1.0981,1.0961,1.0972,0.3316,0.3212,0.3323,0.2287,0.2998,0.3183,0.3316,0.3212,0.3323,0.2689,0.1738,0.182,0.5045,0.55,0.5248,1.0052,0.8348,0.8282
96,8,0.01,LAMB,1.0978,1.0953,1.0972,0.342,0.3212,0.3323,0.2338,0.2998,0.3183,0.342,0.3212,0.3323,0.277,0.1738,0.182,0.5172,0.5503,0.5248,1.0459,0.8348,0.8282
97,8,0.01,LAMB,1.0977,1.0953,1.0972,0.3586,0.3212,0.3323,0.2451,0.2998,0.3183,0.3586,0.3212,0.3323,0.2911,0.1738,0.182,0.5205,0.5503,0.5248,1.0592,0.8348,0.8282
98,8,0.01,LAMB,1.0984,1.0956,1.0972,0.3386,0.3212,0.3323,0.2315,0.2998,0.3183,0.3386,0.3212,0.3323,0.2748,0.1738,0.182,0.4869,0.5502,0.5247,1.06,0.8348,0.8282
99,8,0.01,LAMB,1.0981,1.0959,1.0972,0.3455,0.3212,0.3323,0.2359,0.2998,0.3183,0.3455,0.3212,0.3323,0.279,0.1738,0.182,0.5001,0.55,0.5247,1.0393,0.8348,0.8282
100,8,0.01,LAMB,1.0983,1.0956,1.0972,0.3403,0.3212,0.3323,0.2332,0.2998,0.3183,0.3403,0.3212,0.3323,0.2762,0.1738,0.182,0.4988,0.55,0.5247,1.0355,0.8348,0.8282
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
